equipo,elo_actual,partidos_totales,ultimo_partido,goles_for_forma,goles_contra_forma,total_goles_forma,over25_forma,long_over25_rate,puntos_forma,varianza_goles_8,shots_for_forma,shots_contra_forma,xg_for_forma,xg_contra_forma,varianza_shots_8
Spain,2052.3967355916693,153,2026-06-26,1.75,0.5,2.25,0.5,0.75,2.0,2.6875,,,,,0.0
Argentina,2049.5718021667976,155,2026-06-27,2.75,0.25,3.0,0.625,0.5,3.0,1.0,,,,,0.0
France,1989.7612289068245,164,2026-06-26,2.75,1.0,3.75,1.0,0.75,2.625,0.4375,,,,,0.0
Brazil,1968.9092576184617,150,2026-06-24,2.5,1.0,3.5,0.75,0.6,2.125,3.25,,,,,0.0
England,1954.436198621966,158,2026-06-27,1.625,0.5,2.125,0.25,0.5,2.125,2.859375,,,,,0.0
Colombia,1939.8434745180118,147,2026-06-27,1.75,0.875,2.625,0.625,0.65,2.0,1.984375,,,,,0.0
Portugal,1920.4720025619579,160,2026-06-27,2.625,0.5,3.125,0.5,0.55,2.25,9.109375,,,,,0.0
Japan,1920.4171549813377,124,2026-06-25,1.25,0.625,1.875,0.25,0.45,1.875,1.859375,,,,,0.0
Morocco,1919.53428195238,149,2026-06-24,2.375,0.75,3.125,0.5,0.35,2.25,2.609375,,,,,0.0
Germany,1902.1976680548664,159,2026-06-25,3.5,1.125,4.625,1.0,0.7,2.625,3.734375,,,,,0.0
Netherlands,1897.8771865328897,148,2026-06-25,2.375,1.0,3.375,0.75,0.65,2.125,1.984375,,,,,0.0
Mexico,1863.0424396613557,210,2026-06-24,1.875,0.25,2.125,0.25,0.35,2.5,2.859375,,,,,0.0
Ecuador,1857.8841222333208,134,2026-06-25,1.375,0.625,2.0,0.375,0.25,1.875,1.0,,,,,0.0
Iran,1857.6054745659108,135,2026-06-26,2.0,0.75,2.75,0.5,0.5,1.875,2.1875,,,,,0.0
Senegal,1849.8244583660028,147,2026-06-26,1.875,1.625,3.5,0.75,0.65,1.25,2.75,,,,,0.0
Belgium,1847.8300728952267,153,2026-06-26,3.25,0.625,3.875,0.5,0.55,2.25,6.359375,,,,,0.0
Uruguay,1838.051614550268,140,2026-06-26,0.875,1.375,2.25,0.375,0.25,1.0,3.6875,,,,,0.0
Norway,1836.0669989545909,126,2026-06-26,2.125,1.5,3.625,0.75,0.75,1.75,2.984375,,,,,0.0
Algeria,1835.0893167532747,146,2026-06-27,2.125,1.125,3.25,0.625,0.6,1.75,4.9375,,,,,0.0
Croatia,1830.5035274387278,150,2026-06-27,1.625,1.75,3.375,0.75,0.6,1.875,2.234375,,,,,0.0
Switzerland,1829.1354092493966,147,2026-06-24,2.0,1.25,3.25,0.5,0.6,1.625,4.4375,,,,,0.0
South Korea,1824.5386322883198,159,2026-06-24,1.125,1.0,2.125,0.375,0.4,1.5,2.359375,,,,,0.0
Canada,1812.830019686371,126,2026-06-24,1.875,0.75,2.625,0.375,0.35,1.625,2.734375,,,,,0.0
Australia,1809.5227840929172,128,2026-06-25,0.5,1.25,1.75,0.25,0.35,0.625,0.9375,,,,,0.0
Italy,1808.730268230851,144,2026-06-07,1.75,0.75,2.5,0.375,0.65,2.375,1.75,,,,,0.0
United States,1808.0579947788901,189,2026-06-25,2.375,2.0,4.375,0.75,0.7,1.5,2.984375,,,,,0.0
Denmark,1806.4138620607603,136,2026-06-07,2.625,1.25,3.875,0.875,0.65,1.875,3.109375,,,,,0.0
Egypt,1804.9921070437329,133,2026-06-26,1.375,0.625,2.0,0.375,0.35,1.625,2.25,,,,,0.0
Ivory Coast,1789.9218338493404,144,2026-06-25,2.0,0.75,2.75,0.625,0.45,2.25,1.6875,,,,,0.0
Austria,1786.409870784349,131,2026-06-27,2.0,1.0,3.0,0.375,0.45,2.125,3.75,,,,,0.0
Turkey,1785.9281275634803,142,2026-06-25,1.625,1.0,2.625,0.5,0.65,2.0,2.234375,,,,,0.0
Nigeria,1781.8994839933669,141,2026-06-10,1.625,0.875,2.5,0.625,0.55,1.625,2.5,,,,,0.0
Russia,1759.5963183218798,121,2026-06-09,1.625,0.625,2.25,0.5,0.7,1.75,1.4375,,,,,0.0
Uzbekistan,1741.2778316461277,128,2026-06-27,1.0,2.375,3.375,0.75,0.5,0.5,0.984375,,,,,0.0
Panama,1737.531038845332,168,2026-06-27,1.25,1.875,3.125,0.375,0.35,1.0,5.609375,,,,,0.0
Paraguay,1734.3870904053863,121,2026-06-25,1.375,1.125,2.5,0.625,0.45,1.625,2.5,,,,,0.0
Iraq,1718.3333940047905,128,2026-06-26,0.875,2.125,3.0,0.625,0.4,1.25,1.75,,,,,0.0
Serbia,1717.7917646671917,129,2026-06-04,1.0,2.125,3.125,0.75,0.45,1.125,1.859375,,,,,0.0
United Arab Emirates,1716.6042773358972,125,2025-11-18,1.25,1.0,2.25,0.5,0.55,1.5,1.4375,,,,,0.0
Mali,1706.0627296478938,116,2026-06-04,0.75,1.0,1.75,0.125,0.25,1.0,2.1875,,,,,0.0
DR Congo,1704.9324845197782,132,2026-06-27,1.0,0.75,1.75,0.25,0.3,1.375,1.4375,,,,,0.0
Costa Rica,1704.8106990469944,160,2026-06-10,0.875,1.875,2.75,0.625,0.75,0.75,3.9375,,,,,0.0
Scotland,1704.6930083737393,124,2026-06-24,1.625,1.125,2.75,0.5,0.55,1.5,3.6875,,,,,0.0
Ukraine,1688.6086891518796,127,2026-06-07,1.75,1.625,3.375,0.625,0.55,1.875,3.984375,,,,,0.0
Greece,1688.5224967338581,124,2026-06-07,0.875,1.5,2.375,0.5,0.6,0.75,3.734375,,,,,0.0
Tunisia,1687.7601106682582,146,2026-06-25,0.5,2.375,2.875,0.5,0.5,0.625,4.109375,,,,,0.0
Poland,1678.8061357465347,137,2026-06-03,1.625,1.375,3.0,0.5,0.55,1.75,2.0,,,,,0.0
Chile,1678.195542001642,142,2026-06-09,1.125,1.25,2.375,0.625,0.55,1.625,0.984375,,,,,0.0
Czechia,1678.006979629222,136,2026-06-24,2.375,1.5,3.875,0.875,0.6,1.5,1.859375,,,,,0.0
Sweden,1674.6795849112073,152,2026-06-25,2.125,2.0,4.125,0.75,0.65,1.5,2.109375,,,,,0.0
Occitania,1670.6895773399535,1,2014-12-30,5.0,1.0,6.0,1.0,1.0,3.0,0.0,,,,,0.0
Cameroon,1668.6735274805615,140,2026-01-09,1.0,0.75,1.75,0.25,0.35,1.75,0.9375,,,,,0.0
Saudi Arabia,1666.685544333873,145,2026-06-26,0.75,1.625,2.375,0.625,0.4,0.75,2.234375,,,,,0.0
Venezuela,1662.005773232661,116,2026-06-09,0.875,2.0,2.875,0.375,0.45,0.75,5.859375,,,,,0.0
Padania,1661.6494644764523,15,2019-06-08,1.625,0.75,2.375,0.375,0.4,1.5,1.484375,,,,,0.0
Haiti,1659.701404878671,97,2026-06-24,1.25,1.5,2.75,0.5,0.6,0.875,2.4375,,,,,0.0
Jordan,1656.6010945715584,151,2026-06-27,1.25,2.625,3.875,0.875,0.6,0.25,0.859375,,,,,0.0
Honduras,1654.397410754574,141,2026-06-06,0.875,0.75,1.625,0.25,0.35,1.25,1.984375,,,,,0.0
Jamaica,1652.310799825866,142,2026-06-06,0.875,0.625,1.5,0.125,0.35,1.375,1.25,,,,,0.0
Peru,1648.9682542696453,145,2026-06-08,1.0,1.75,2.75,0.625,0.4,0.625,0.9375,,,,,0.0
