fecha,equipo_local,equipo_visitante,shots_local,shots_visitante,shots_on_target_local,shots_on_target_visitante,corners_proxy_local,corners_proxy_visitante,xg_local,xg_visitante,statsbomb_match_id
2024-07-03,Brazil,Colombia,7,13,3,6,30,18,0.30581762,1.5030030165000001,3939991
2024-07-01,Jamaica,Venezuela,8,17,1,3,43,31,0.667584843,1.714409986,3939987
2024-06-28,Uruguay,Bolivia,18,4,9,1,22,24,2.3209622755000003,0.0507624025,3939982
2024-06-22,Peru,Chile,7,11,4,1,3,6,0.6772752089999999,1.024763887,3939970
2024-06-26,Ecuador,Jamaica,23,7,3,4,46,34,2.3658249157999998,0.934746927,3939980
2024-06-26,Chile,Argentina,3,22,3,9,0,29,0.1309882215,2.7840603249999996,3939977
2024-06-24,Colombia,Paraguay,11,11,3,3,18,7,0.621920841,0.8275965940000001,3939975
2024-06-23,United States,Bolivia,20,6,8,3,35,8,2.4046838079999997,0.1496907824,3939974
2024-06-30,Argentina,Peru,12,7,6,1,12,12,2.1057768130000003,0.1666223537,3939986
2024-06-23,Mexico,Jamaica,20,13,9,4,23,20,1.1360803270000002,0.5061592739999999,3939971
2024-06-27,Venezuela,Mexico,10,18,2,5,5,26,1.138640792,2.3843226160000004,3939979
2024-07-01,Mexico,Ecuador,20,9,4,3,12,7,0.937626587,0.30584925900000004,3939988
2024-07-02,United States,Uruguay,8,12,2,5,20,9,0.470996951,1.2715211382,3939990
2024-06-29,Paraguay,Brazil,15,17,6,6,8,21,0.6916759418999999,3.7476898489999995,3939983
2024-06-22,Ecuador,Venezuela,9,14,4,5,19,23,0.7355915667000001,1.5850185390000002,3939972
2024-06-25,Peru,Canada,9,5,4,2,10,2,0.5764393578,0.909048214,3939978
2024-06-25,Brazil,Costa Rica,20,2,3,0,80,9,1.6211921360000001,0.036730567000000006,3939976
2024-07-03,Costa Rica,Paraguay,2,17,2,6,8,35,0.27205455,1.4400627040000002,3939992
2024-07-06,Colombia,Panama,7,14,5,2,10,3,2.180404504,0.609951584,3942416
2024-07-15,Argentina,Colombia,11,19,5,4,6,13,1.0827015698,0.9722537355999998,3943077
2024-07-14,Canada,Uruguay,14,12,5,5,15,22,2.2878095280000004,1.516426863,3943076
2024-07-11,Uruguay,Colombia,11,11,2,4,8,9,0.754563564,1.171960657,3942852
2024-07-10,Argentina,Canada,11,9,3,2,3,6,1.7541940644,0.7175667499999999,3942785
2024-07-07,Uruguay,Brazil,12,7,1,3,12,7,0.6298363020000001,0.6758747529999999,3942415
2024-06-24,Uruguay,Panama,20,10,7,3,39,13,1.3614407430000002,0.540888124,3939973
2024-07-06,Venezuela,Canada,15,16,3,5,19,8,0.9220584957,1.3510978860000002,3942229
2024-07-05,Argentina,Ecuador,8,9,2,2,6,12,0.858567997,1.3885276160000002,3942228
2024-06-30,Canada,Chile,9,8,3,4,19,12,0.699493846,0.45400930300000003,3939985
2024-06-28,Colombia,Costa Rica,18,5,5,0,11,4,2.9023146930000006,0.165297975,3939984
2024-06-27,Panama,United States,13,6,4,3,8,0,0.730782593,0.914278539,3939981
2024-07-02,Bolivia,Panama,7,13,3,6,4,5,0.793431835,1.3405597112999998,3939989
2024-06-21,Argentina,Canada,19,10,8,2,78,13,3.538291301,0.9772994850000001,3939969
2022-12-01,Canada,Morocco,5,7,0,2,17,8,1.095618012,0.42640382499999996,3857276
2022-11-21,England,IR Iran,13,8,7,3,44,3,1.987157745,1.4556585987,3857271
2022-12-01,Croatia,Belgium,11,16,4,3,11,24,0.695021896,2.3818400918,3857296
2022-11-25,Netherlands,Ecuador,2,15,1,4,10,13,0.104464025,1.651054305,3857274
2022-12-01,Japan,Spain,6,12,3,5,0,6,1.157800672,0.8577122079999999,3857255
2022-11-25,England,United States,8,10,3,1,8,22,0.460638346,0.514287002,3857272
2022-11-29,IR Iran,United States,4,12,1,5,3,20,0.9207899420000001,1.169654601,3857278
2022-11-23,Morocco,Croatia,8,5,2,1,0,48,0.36263897600000006,0.8498605050000001,3857277
2022-11-25,Wales,IR Iran,10,21,3,6,10,27,0.6156351910000001,1.4539579476000002,3857273
2022-11-30,Tunisia,France,5,10,3,3,26,39,0.298346986,0.47698937399999997,3857275
2022-11-29,Wales,England,7,18,1,7,3,13,0.208009498,2.91548517,3857261
2022-11-24,Switzerland,Cameroon,7,8,3,5,35,43,1.426544536,0.6130733495,3857290
2022-11-24,Portugal,Ghana,11,9,5,3,8,5,2.0968733929999996,0.7800233097,3857298
2022-11-21,Senegal,Netherlands,15,10,4,3,31,16,0.6914927064999999,1.1238838,3857285
2022-11-21,United States,Wales,6,7,1,3,31,8,0.6024987946,1.395336012,3857282
2022-11-26,Poland,Saudi Arabia,9,17,3,5,14,31,1.734172485,1.971976484,3857297
2022-11-29,Netherlands,Qatar,13,5,4,3,28,5,1.7139532729999998,0.143716575,3857294
2022-11-26,France,Denmark,21,10,6,2,30,14,1.9335694290000003,0.888543842,3857266
2022-11-23,Germany,Japan,26,12,9,4,16,15,2.768019421,1.2492595809999998,3857284
2022-11-22,Denmark,Tunisia,11,13,5,1,38,41,1.5665587579999998,1.0599351179999998,3857254
2022-11-22,Mexico,Poland,11,6,4,2,27,9,0.5291349314,1.137926228,3857265
2022-11-25,Qatar,Senegal,10,12,3,4,11,9,0.9600861729999999,0.9029646219999999,3857301
2022-11-23,Belgium,Canada,9,22,3,3,39,11,0.6700408539999999,2.5462123360000004,3857268
2022-11-28,Brazil,Switzerland,13,6,5,0,42,14,0.922729946,0.288629175,3857269
2022-12-09,Netherlands,Argentina,7,14,2,5,20,22,0.569537827,1.9391971309999998,3869321
2022-12-01,Costa Rica,Germany,7,31,5,11,10,63,1.0347440669999999,4.316106397,3857292
2022-11-27,Japan,Costa Rica,13,4,3,1,11,1,0.773533495,0.199368384,3857295
2022-12-18,Argentina,France,20,10,10,5,9,13,2.7583059260000002,2.272617949,3869685
2022-12-17,Croatia,Morocco,12,9,4,2,14,7,0.8492689635999999,0.99145712,3869684
2022-12-02,Serbia,Switzerland,12,14,4,7,13,0,1.1890035350000001,3.1035154719999998,3857256
2022-12-03,Argentina,Australia,14,5,5,1,18,9,1.4815793030000002,0.42611782,3869151
2022-11-30,Australia,Denmark,8,14,4,4,7,13,0.469723377,0.7371546319999999,3857257
2022-11-24,Brazil,Serbia,23,5,9,0,22,9,2.1238895187000004,0.16332714399999998,3857258
2022-11-26,Tunisia,Australia,14,9,4,2,19,5,1.0521703449999997,0.3590377687,3857288
2022-11-29,Ecuador,Senegal,9,13,4,3,9,35,1.0016627869999999,1.7074647099999998,3857267
2022-11-24,Uruguay,Korea Republic,10,7,1,0,24,8,0.417294332,0.492992523,3857287
2022-12-10,Morocco,Portugal,9,12,3,3,7,19,0.9720228750000001,0.7441207567,3869486
2022-11-30,Saudi Arabia,Mexico,10,26,2,10,4,27,1.076111142,2.3221233279,3857260
2022-11-30,Poland,Argentina,4,24,0,13,13,91,0.197595245,3.0766596990000004,3857264
2022-11-26,Argentina,Mexico,5,4,2,1,9,6,0.325204139,0.20639165169999998,3857289
2022-12-06,Portugal,Switzerland,15,10,9,3,28,24,2.2842600070000003,1.2718271719999998,3869254
2022-12-04,England,Senegal,8,10,4,1,7,13,1.0200234609999999,0.972806433,3869118
2022-12-13,Argentina,Croatia,9,12,7,2,3,13,1.8643632719999998,0.4100536413,3869519
2022-12-10,England,France,16,8,7,5,34,10,2.352551477,0.839362034,3869354
2022-12-14,France,Morocco,14,13,2,2,5,14,2.002449116,1.23036399,3869552
2022-12-09,Croatia,Brazil,9,20,1,11,16,35,0.6328888039999999,1.8163305555000004,3869420
2022-12-06,Morocco,Spain,6,12,2,1,2,58,0.570374606,0.4949908599,3869220
2022-12-05,Japan,Croatia,13,17,4,4,29,14,1.068976766,0.8543975060000001,3869219
2022-12-05,Brazil,Korea Republic,18,8,10,6,26,10,3.261424097,0.3448272774,3869253
2022-12-04,France,Poland,16,12,8,2,41,3,1.126374493,1.593527124,3869152
2022-12-03,Netherlands,United States,11,18,6,6,9,15,1.481948115,1.652097544,3869117
2022-11-28,Portugal,Uruguay,15,11,3,3,15,6,1.2137340055999999,1.216681074,3857270
2022-11-27,Spain,Germany,7,11,3,4,45,12,0.6395007165,1.1469521137,3857263
2022-11-28,Cameroon,Serbia,13,15,8,5,16,18,2.0703093487,1.738067283,3857259
2022-11-27,Belgium,Morocco,10,10,4,4,30,1,0.6426120820000001,0.99110855,3857283
2022-11-20,Qatar,Ecuador,5,6,0,3,1,4,0.30418895050000005,1.1540112984,3857286
2022-11-22,Argentina,Saudi Arabia,15,3,6,2,29,10,2.491633446,0.153461642,3857300
2022-11-28,Korea Republic,Ghana,21,7,6,3,115,13,1.3677928149999998,1.1805358279999998,3857299
2022-12-02,Ghana,Uruguay,9,12,4,6,8,18,1.392694141,1.6365584506000004,3857293
2022-11-23,Spain,Costa Rica,17,0,8,0,61,2,2.761923473,0.0,3857291
