equipo,elo_actual,partidos_totales,ultimo_partido,goles_for_forma,goles_contra_forma,total_goles_forma,over25_forma,long_over25_rate,puntos_forma,varianza_goles_8,shots_for_forma,shots_contra_forma,xg_for_forma,xg_contra_forma,varianza_shots_8
Spain,2152.900663214396,153,2026-06-26,1.75,0.5,2.25,0.5,0.72,2.0,2.6875,,,,,0.0
Argentina,2152.754586694741,159,2026-06-27,2.75,0.25,3.0,0.625,0.48,3.0,1.0,,,,,0.0
France,2079.4271422393913,164,2026-06-26,2.75,1.0,3.75,1.0,0.72,2.625,0.4375,,,,,0.0
Brazil,2058.761949854642,154,2026-06-24,2.5,1.0,3.5,0.75,0.52,2.125,3.25,,,,,0.0
England,2030.0568416382016,158,2026-06-27,1.625,0.5,2.125,0.25,0.52,2.125,2.859375,,,,,0.0
Colombia,2029.8060001334004,147,2026-06-27,1.75,0.875,2.625,0.625,0.56,2.0,1.984375,,,,,0.0
Morocco,2003.888198495121,149,2026-06-24,2.375,0.75,3.125,0.5,0.36,2.25,2.609375,,,,,0.0
Portugal,1980.098256018376,155,2026-06-27,2.625,0.5,3.125,0.5,0.56,2.25,9.109375,,,,,0.0
Germany,1972.0036452228342,154,2026-06-25,3.5,1.125,4.625,1.0,0.72,2.625,3.734375,,,,,0.0
Japan,1970.8031115598283,124,2026-06-25,1.25,0.625,1.875,0.25,0.52,1.875,1.859375,,,,,0.0
Ecuador,1968.0984428077638,134,2026-06-25,1.375,0.625,2.0,0.375,0.2,1.875,1.0,,,,,0.0
Netherlands,1957.790615713036,148,2026-06-25,2.375,1.0,3.375,0.75,0.68,2.125,1.984375,,,,,0.0
Norway,1957.4116222672521,126,2026-06-26,2.125,1.5,3.625,0.75,0.76,1.75,2.984375,,,,,0.0
Mexico,1946.8591859166816,205,2026-06-24,1.875,0.25,2.125,0.25,0.36,2.5,2.859375,,,,,0.0
Switzerland,1912.8980917690046,147,2026-06-24,2.0,1.25,3.25,0.5,0.52,1.625,4.4375,,,,,0.0
Belgium,1912.6646384647397,153,2026-06-26,3.25,0.625,3.875,0.5,0.52,2.25,6.359375,,,,,0.0
Algeria,1898.7847710177953,146,2026-06-27,2.125,1.125,3.25,0.625,0.6,1.75,4.9375,,,,,0.0
IR Iran,1898.1512409999348,135,2026-06-26,2.0,0.75,2.75,0.5,0.56,1.875,2.1875,,,,,0.0
Senegal,1891.3372998650345,147,2026-06-26,1.875,1.625,3.5,0.75,0.56,1.25,2.75,,,,,0.0
Uruguay,1891.258656953631,140,2026-06-26,0.875,1.375,2.25,0.375,0.24,1.0,3.6875,,,,,0.0
Turkey,1885.2044435210123,142,2026-06-25,1.625,1.0,2.625,0.5,0.64,2.0,2.234375,,,,,0.0
Croatia,1883.440709245401,150,2026-06-27,1.625,1.75,3.375,0.75,0.6,1.875,2.234375,,,,,0.0
Canada,1880.5408464272998,126,2026-06-24,1.875,0.75,2.625,0.375,0.4,1.625,2.734375,,,,,0.0
Nigeria,1876.0632688913884,141,2026-06-10,1.625,0.875,2.5,0.625,0.52,1.625,2.5,,,,,0.0
Egypt,1875.956106055342,133,2026-06-26,1.375,0.625,2.0,0.375,0.32,1.625,2.25,,,,,0.0
Côte d'Ivoire,1866.4473794339076,144,2026-06-25,2.0,0.75,2.75,0.625,0.4,2.25,1.6875,,,,,0.0
Denmark,1865.067794155754,136,2026-06-07,2.625,1.25,3.875,0.875,0.56,1.875,3.109375,,,,,0.0
Korea Republic,1856.462180227208,159,2026-06-24,1.125,1.0,2.125,0.375,0.4,1.5,2.359375,,,,,0.0
Austria,1853.7628294458668,131,2026-06-27,2.0,1.0,3.0,0.375,0.52,2.125,3.75,,,,,0.0
Australia,1852.804023583259,125,2026-06-25,0.5,1.25,1.75,0.25,0.4,0.625,0.9375,,,,,0.0
United States,1851.0167278031477,189,2026-06-25,2.375,2.0,4.375,0.75,0.72,1.5,2.984375,,,,,0.0
