filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
directional_consensus,0.7,0.04,0.46,0.54,,31,0.00425531914893617,0.6774193548387096,0.2532258064516129,0.2870967741935484,0.3548387096774194,8.9,3,0,31,,0.6774193548387096,0.7199327937691152
legacy_discrepancy,0.62,0.05,0.45,0.55,0.12,210,0.028826355525051476,0.6666666666666666,0.23333333333333336,0.2666666666666666,0.3333333333333333,55.99999999999999,5,4,206,0.5,0.6699029126213593,0.6354774301943661
directional_consensus,0.7,0.03,0.47,0.53,,33,0.004529855868222374,0.6666666666666666,0.23333333333333342,0.2666666666666666,0.3333333333333333,8.799999999999997,3,1,32,0.0,0.6875,0.719188998644136
directional_consensus,0.7,0.05,0.45,0.55,,29,0.003980782429649965,0.6551724137931034,0.2120689655172414,0.24482758620689654,0.3103448275862069,7.1,3,0,29,,0.6551724137931034,0.7201521839869371
directional_consensus,0.68,0.04,0.46,0.54,,66,0.009059711736444749,0.6515151515151515,0.20530303030303035,0.2378787878787878,0.30303030303030304,15.699999999999996,3,0,66,,0.6515151515151515,0.7029374108281627
legacy_discrepancy,0.6,0.05,0.45,0.55,0.12,489,0.067124227865477,0.6503067484662577,0.2030674846625767,0.23558282208588954,0.3006134969325153,115.19999999999999,5,10,479,0.7,0.6492693110647182,0.6206808733284535
directional_consensus,0.68,0.03,0.47,0.53,,68,0.009334248455730955,0.6470588235294118,0.1970588235294118,0.22941176470588226,0.29411764705882354,15.599999999999994,3,1,67,0.0,0.6567164179104478,0.7030763156334214
hybrid_both,0.62,0.04,0.46,0.54,0.16,376,0.05161290322580645,0.6462765957446809,0.19561170212765958,0.22792553191489362,0.2925531914893617,85.7,5,3,373,0.3333333333333333,0.6487935656836461,0.639609237087726
hybrid_both,0.62,0.06,0.44,0.56,0.16,306,0.042004118050789296,0.6437908496732027,0.19101307189542485,0.22320261437908492,0.2875816993464052,68.29999999999998,5,1,305,0.0,0.6459016393442623,0.6402661707376491
legacy_discrepancy,0.62,0.05,0.45,0.55,0.16,397,0.0544955387783116,0.6397984886649875,0.18362720403022673,0.21561712846347605,0.2795969773299748,85.6,6,5,392,0.4,0.6428571428571429,0.639270972299427
legacy_discrepancy,0.6,0.05,0.45,0.55,0.16,786,0.10789293067947837,0.6361323155216285,0.17684478371501272,0.20865139949109415,0.272264631043257,164.0,6,24,762,0.7083333333333334,0.6338582677165354,0.6245252741851279
legacy_discrepancy,0.62,0.05,0.45,0.55,0.26,739,0.10144131777625258,0.6359945872801083,0.17658998646820032,0.2083897158322057,0.2719891745602165,154.0,5,36,703,0.8055555555555556,0.6273115220483642,0.6458455804385554
hybrid_both,0.62,0.05,0.45,0.55,0.16,343,0.047083047357584076,0.6355685131195336,0.17580174927113706,0.20758017492711367,0.27113702623906705,71.19999999999999,5,1,342,0.0,0.6374269005847953,0.6400260025629995
