feature,importance
elo_diff,233
gap_ratio_defensa,81
gap_defensa_neutro_visitante,80
local_partidos_previos,76
visitante_partidos_previos,74
elo_local_pre,70
local_puntos_forma,69
gap_ataque_neutro_local,65
gap_defensa_neutro_local,63
local_total_goles_forma,59
lambda_total_gap,58
h2h_total_goles_promedio,57
lambda_visitante_gap,57
visitante_total_goles_forma,56
local_goles_for_forma,50
local_goles_contra_forma,42
local_over25_forma,42
elo_visitante_pre,40
lambda_total_base,39
visitante_goles_for_forma,34
visitante_goles_contra_forma,33
gap_diferencial_neto,33
gap_ratio_ataque,33
varianza_goles_visit_8,32
visitante_puntos_forma,32
gap_ataque_neutro_visitante,32
visitante_long_over25_rate,29
varianza_goles_local_8,28
local_long_over25_rate,26
peso_torneo,24
dias_descanso_local,24
h2h_over25_rate,23
visitante_over25_forma,21
lambda_local_gap,19
p_over_poisson_gap,15
dias_descanso_visitante,14
p_over_poisson_base,7
neutral,1
xg_local,0
xg_visitante,0
fase_codigo,0
gap_modo,0
phase_penalty,0
altitud_sede,0
altitude_penalty,0
statsbomb_available,0
shots_local,0
shots_visitante,0
shots_on_target_visitante,0
varianza_shots_visit_8,0
varianza_shots_local_8,0
visitante_xg_contra_forma,0
visitante_xg_for_forma,0
local_xg_contra_forma,0
local_xg_for_forma,0
visitante_shots_contra_forma,0
local_shots_contra_forma,0
visitante_shots_for_forma,0
local_shots_for_forma,0
shots_on_target_local,0
