feature,importance
elo_diff,242
local_partidos_previos,106
gap_ataque_neutro_visitante,99
visitante_partidos_previos,98
gap_defensa_neutro_visitante,82
visitante_long_over25_rate,81
lambda_total_base,77
gap_ataque_neutro_local,72
elo_local_pre,70
h2h_total_goles_promedio,67
gap_defensa_neutro_local,64
gap_ratio_defensa,56
lambda_visitante_gap,54
local_puntos_forma,48
varianza_goles_local_8,37
visitante_puntos_forma,37
elo_visitante_pre,35
local_total_goles_forma,34
varianza_goles_visit_8,33
peso_torneo,33
gap_ratio_ataque,33
gap_diferencial_neto,29
visitante_over25_forma,26
visitante_total_goles_forma,25
local_goles_contra_forma,24
lambda_local_gap,23
local_long_over25_rate,23
visitante_goles_contra_forma,20
lambda_total_gap,18
dias_descanso_visitante,18
visitante_goles_for_forma,18
local_over25_forma,18
h2h_over25_rate,17
p_over_poisson_base,16
local_goles_for_forma,15
dias_descanso_local,4
p_over_poisson_gap,2
xg_visitante,0
shots_local,0
neutral,0
fase_codigo,0
phase_penalty,0
gap_modo,0
altitud_sede,0
altitude_penalty,0
statsbomb_available,0
shots_visitante,0
local_shots_for_forma,0
shots_on_target_visitante,0
xg_local,0
varianza_shots_visit_8,0
varianza_shots_local_8,0
visitante_xg_contra_forma,0
visitante_xg_for_forma,0
local_xg_contra_forma,0
local_xg_for_forma,0
visitante_shots_contra_forma,0
local_shots_contra_forma,0
visitante_shots_for_forma,0
shots_on_target_local,0
