equipo_local,equipo_visitante,fecha,sede,fase,decision,observacion_no_apuesta,p_over_final,p_under_final,confianza_modelo,confianza_apuesta,p_over_ml,p_over_poisson_base,p_over_poisson_gap,lambda_total_base,lambda_total_gap,discrepancia_modelos,modelos_usados,elo_local,elo_visitante,partidos_previos_local,partidos_previos_visitante,checks_ok,bloqueos,filter_mode,directional_margin_used,under_confirm_ceiling_used,over_confirm_floor_used,threshold_source,ml_status
Mexico,South Africa,2026-06-11,Mundial 2026,Grupo,UNDER 2.5,UNDER 2.5,0.370089,0.629911,0.259823,0.259823,0.574518,0.243301,0.436063,1.702,2.4221,0.331217,"base,gap,ml",1946.9,1657.6,205,125,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.331<=0.350)|votos_utilizables|confianza_ok(0.260>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Korea Republic,Czech Republic,2026-06-12,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.505514,0.494486,0.011027,0.0,0.536015,0.581977,0.408055,3.0232,2.3155,0.173922,"base,gap,ml",1856.5,1727.6,159,136,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.174<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.011<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Canada,Bosnia and Herzegovina,2026-06-12,Mundial 2026,Grupo,UNDER 2.5,UNDER 2.5,0.403395,0.596605,0.19321,0.19321,0.513697,0.398112,0.367975,2.278,2.1653,0.145721,"base,gap,ml",1880.5,1578.9,126,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.146<=0.350)|votos_utilizables|confianza_ok(0.193>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
United States,Paraguay,2026-06-13,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.564447,0.435553,0.128894,0.0,0.549948,0.715984,0.399406,3.7084,2.2828,0.316578,"base,gap,ml",1851.0,1849.8,189,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.317<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.129<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Qatar,Switzerland,2026-06-13,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.491256,0.508744,0.017488,0.0,0.563158,0.539791,0.409691,2.839,2.3216,0.153466,"base,gap,ml",1585.7,1912.9,158,147,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.153<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.017<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Brazil,Morocco,2026-06-14,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.58132,0.41868,0.162639,0.0,0.540144,0.647496,0.522312,3.3347,2.7656,0.125184,"base,gap,ml",2058.8,2003.9,154,149,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.125<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.163<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Haiti,Scotland,2026-06-14,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.447203,0.552797,0.105594,0.0,0.445768,0.527842,0.357022,2.7887,2.1247,0.170819,"base,gap,ml",1695.8,1787.5,91,124,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.171<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.106<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Australia,Turkey,2026-06-14,Mundial 2026,Grupo,UNDER 2.5,UNDER 2.5,0.391469,0.608531,0.217062,0.217062,0.479553,0.353222,0.401465,2.1106,2.2906,0.126331,"base,gap,ml",1852.8,1885.2,125,142,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.126<=0.350)|votos_utilizables|confianza_ok(0.217>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Germany,Curacao,2026-06-14,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.478689,0.521311,0.042621,0.0,0.713639,0.44854,0.424501,2.4703,2.3779,0.289137,"base,gap,ml",1972.0,1500.0,154,0,ml_ok|modelos_coherentes_legacy(0.289<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),datos_insuficientes_equipo(154/0)|confianza_baja(0.043<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Netherlands,Japan,2026-06-14,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.498178,0.501822,0.003645,0.0,0.501352,0.503964,0.490478,2.6902,2.6356,0.013486,"base,gap,ml",1957.8,1970.8,148,124,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.013<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.004<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Côte d'Ivoire,Ecuador,2026-06-15,Mundial 2026,Grupo,UNDER 2.5,UNDER 2.5,0.387426,0.612574,0.225149,0.225149,0.427439,0.37695,0.384206,2.1987,2.2258,0.050489,"base,gap,ml",1866.4,1968.1,144,134,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.050<=0.350)|votos_utilizables|confianza_ok(0.225>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Sweden,Tunisia,2026-06-15,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.558834,0.441166,0.117668,0.0,0.516107,0.709388,0.405483,3.6696,2.3057,0.303906,"base,gap,ml",1732.8,1695.3,152,146,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.304<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.118<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Spain,Cape Verde,2026-06-15,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.462764,0.537236,0.074472,0.0,0.614327,0.426699,0.4465,2.3863,2.4624,0.187627,"base,gap,ml",2152.9,1671.0,153,99,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.188<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.074<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Belgium,Egypt,2026-06-15,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.51176,0.48824,0.023521,0.0,0.512229,0.530943,0.490004,2.8017,2.6337,0.040939,"base,gap,ml",1912.7,1876.0,153,133,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.041<=0.350)|votos_utilizables|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.024<0.164)|varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Saudi Arabia,Uruguay,2026-06-16,Mundial 2026,Grupo,UNDER 2.5,UNDER 2.5,0.370141,0.629859,0.259719,0.259719,0.422494,0.353543,0.36918,2.1118,2.1698,0.068951,"base,gap,ml",1673.4,1891.3,145,140,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.069<=0.350)|votos_utilizables|confianza_ok(0.260>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
IR Iran,New Zealand,2026-06-16,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.513343,0.486657,0.026686,0.0,0.560144,0.579991,0.420813,3.0142,2.3638,0.159178,"base,gap,ml",1898.2,1672.4,135,59,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.159<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.027<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
France,Senegal,2026-06-16,Mundial 2026,Grupo,OVER 2.5,OVER 2.5,0.620992,0.379008,0.241984,0.241984,0.498187,0.76113,0.509389,3.9948,2.7123,0.262942,"base,gap,ml",2079.4,1891.3,164,147,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.263<=0.350)|votos_utilizables|confianza_ok(0.242>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Iraq,Norway,2026-06-17,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.524607,0.475393,0.049214,0.0,0.47051,0.671051,0.380143,3.4566,2.2107,0.290908,"base,gap,ml",1763.9,1957.4,128,126,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.291<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.049<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Argentina,Algeria,2026-06-17,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.562837,0.437163,0.125674,0.0,0.536365,0.614923,0.514167,3.1753,2.7319,0.100756,"base,gap,ml",2152.8,1898.8,159,146,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.101<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.126<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Austria,Jordan,2026-06-17,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.545618,0.454382,0.091235,0.0,0.521674,0.67783,0.405857,3.4929,2.3072,0.271973,"base,gap,ml",1853.8,1667.5,131,151,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.272<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.091<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Portugal,DR Congo,2026-06-17,Mundial 2026,Grupo,NO APOSTAR,UNDER 2.5,0.435597,0.564403,0.128806,0.0,0.541616,0.386838,0.450694,2.2357,2.4786,0.154778,"base,gap,ml",1980.1,1777.1,155,132,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.155<=0.350)|votos_utilizables|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.129<0.164)|varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
England,Croatia,2026-06-17,Mundial 2026,Grupo,NO APOSTAR,OVER 2.5,0.501408,0.498592,0.002816,0.0,0.51409,0.510556,0.48636,2.7171,2.6191,0.027729,"base,gap,ml",2030.1,1883.4,158,150,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.028<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.003<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
