equipo_local,equipo_visitante,fecha,sede,fase,decision,observacion_no_apuesta,p_over_final,p_under_final,confianza_modelo,confianza_apuesta,p_over_ml,p_over_poisson_base,p_over_poisson_gap,lambda_total_base,lambda_total_gap,discrepancia_modelos,modelos_usados,elo_local,elo_visitante,partidos_previos_local,partidos_previos_visitante,checks_ok,bloqueos,filter_mode,directional_margin_used,under_confirm_ceiling_used,over_confirm_floor_used,threshold_source,ml_status
Mexico,South Africa,2026-06-11,Mexico City,Grupo,UNDER 2.5,UNDER 2.5,0.340466,0.659534,0.319068,0.319068,0.542823,0.212219,0.408861,1.5828,2.3185,0.330604,"base,gap,ml",1946.9,1657.6,205,125,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.331<=0.350)|votos_utilizables|confianza_ok(0.319>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Korea Republic,Czech Republic,2026-06-11,Guadalajara,Grupo,NO APOSTAR,OVER 2.5,0.504762,0.495238,0.009524,0.0,0.504173,0.581977,0.418117,3.0232,2.3536,0.163859,"base,gap,ml",1856.5,1727.6,159,136,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.164<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.010<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Canada,Bosnia and Herzegovina,2026-06-12,Toronto,Grupo,UNDER 2.5,UNDER 2.5,0.414317,0.585683,0.171367,0.171367,0.514577,0.398112,0.39495,2.278,2.2661,0.119627,"base,gap,ml",1880.5,1578.9,126,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.120<=0.350)|votos_utilizables|confianza_ok(0.171>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
United States,Paraguay,2026-06-12,Los Angeles,Grupo,OVER 2.5,OVER 2.5,0.582055,0.417945,0.164109,0.164109,0.529303,0.715984,0.451166,3.7084,2.4805,0.264817,"base,gap,ml",1851.0,1849.8,189,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.265<=0.350)|votos_utilizables|confianza_ok(0.164>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Haiti,Scotland,2026-06-13,Boston,Grupo,NO APOSTAR,UNDER 2.5,0.456717,0.543283,0.086566,0.0,0.468722,0.527842,0.3722,2.7887,2.181,0.155641,"base,gap,ml",1695.8,1787.5,91,124,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.156<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.087<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Australia,Türkiye,2026-06-13,Vancouver,Grupo,NO APOSTAR,UNDER 2.5,0.335746,0.664254,0.328508,0.0,0.651296,0.186238,0.38561,1.4804,2.2311,0.465057,"base,gap,ml",1852.8,1500.0,125,0,ml_ok|votos_utilizables|confianza_ok(0.329>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),datos_insuficientes_equipo(125/0)|discrepancia_modelos_alta_legacy(0.465>0.350),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Brazil,Morocco,2026-06-13,New York,Grupo,OVER 2.5,OVER 2.5,0.603929,0.396071,0.207859,0.207859,0.531228,0.647496,0.58218,3.3347,3.0241,0.116268,"base,gap,ml",2058.8,2003.9,154,149,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.116<=0.350)|votos_utilizables|confianza_ok(0.208>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Qatar,Switzerland,2026-06-13,San Francisco,Grupo,NO APOSTAR,UNDER 2.5,0.489188,0.510812,0.021625,0.0,0.580903,0.539791,0.397866,2.839,2.277,0.183037,"base,gap,ml",1585.7,1912.9,158,147,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.183<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.022<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Côte d'Ivoire,Ecuador,2026-06-14,Philadelphia,Grupo,UNDER 2.5,UNDER 2.5,0.404194,0.595806,0.191613,0.191613,0.454662,0.37695,0.415917,2.1987,2.3452,0.077712,"base,gap,ml",1866.4,1968.1,144,134,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.078<=0.350)|votos_utilizables|confianza_ok(0.192>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Germany,Curaçao,2026-06-14,Houston,Grupo,NO APOSTAR,OVER 2.5,0.625938,0.374062,0.251877,0.0,0.58929,0.73991,0.511464,3.8552,2.7208,0.228446,"base,gap,ml",1972.0,1662.3,154,76,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.228<=0.350)|votos_utilizables|confianza_ok(0.252>=0.164)|varianza_shots_ignorada(sin_statsbomb),varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
