equipo_local,equipo_visitante,fecha,sede,fase,decision,observacion_no_apuesta,p_over_final,p_under_final,confianza_modelo,confianza_apuesta,p_over_ml,p_over_poisson_base,p_over_poisson_gap,lambda_total_base,lambda_total_gap,discrepancia_modelos,modelos_usados,elo_local,elo_visitante,partidos_previos_local,partidos_previos_visitante,checks_ok,bloqueos,filter_mode,directional_margin_used,under_confirm_ceiling_used,over_confirm_floor_used,threshold_source,ml_status
Iraq,Norway,2026-06-16,Boston,Grupo,NO APOSTAR,OVER 2.5,0.524607,0.475393,0.049214,0.0,0.47051,0.671051,0.380143,3.4566,2.2107,0.290908,"base,gap,ml",1763.9,1957.4,128,126,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.291<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.049<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Argentina,Algeria,2026-06-16,Kansas City,Grupo,NO APOSTAR,OVER 2.5,0.562837,0.437163,0.125674,0.0,0.536365,0.614923,0.514167,3.1753,2.7319,0.100756,"base,gap,ml",2152.8,1898.8,159,146,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.101<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.126<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Austria,Jordan,2026-06-16,San Francisco,Grupo,NO APOSTAR,OVER 2.5,0.545618,0.454382,0.091235,0.0,0.521674,0.67783,0.405857,3.4929,2.3072,0.271973,"base,gap,ml",1853.8,1667.5,131,151,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.272<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.091<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Ghana,Panama,2026-06-17,Toronto,Grupo,UNDER 2.5,UNDER 2.5,0.41089,0.58911,0.17822,0.17822,0.435455,0.450879,0.35669,2.4794,2.1234,0.094189,"base,gap,ml",1620.0,1779.7,126,168,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.094<=0.350)|votos_utilizables|confianza_ok(0.178>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
England,Croatia,2026-06-17,Dallas,Grupo,NO APOSTAR,OVER 2.5,0.501408,0.498592,0.002816,0.0,0.51409,0.510556,0.48636,2.7171,2.6191,0.027729,"base,gap,ml",2030.1,1883.4,158,150,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.028<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.003<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Portugal,Congo DR,2026-06-17,Houston,Grupo,NO APOSTAR,UNDER 2.5,0.377651,0.622349,0.244698,0.0,0.70629,0.208414,0.444804,1.568,2.4558,0.497876,"base,gap,ml",1980.1,1500.0,155,0,ml_ok|votos_utilizables|confianza_ok(0.245>=0.164)|varianza_shots_ignorada(sin_statsbomb),datos_insuficientes_equipo(155/0)|discrepancia_modelos_alta_legacy(0.498>0.350)|varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Uzbekistan,Colombia,2026-06-17,Mexico City,Grupo,NO APOSTAR,UNDER 2.5,0.460227,0.539773,0.079545,0.0,0.464236,0.549754,0.358007,2.8815,2.1283,0.191747,"base,gap,ml",1776.6,2029.8,128,147,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.192<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.080<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Czech Republic,South Africa,2026-06-18,Atlanta,Grupo,NO APOSTAR,UNDER 2.5,0.460562,0.539438,0.078875,0.0,0.454137,0.539098,0.37462,2.8361,2.1901,0.164478,"base,gap,ml",1727.6,1657.6,136,125,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.164<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.079<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Switzerland,Bosnia and Herzegovina,2026-06-18,Los Angeles,Grupo,NO APOSTAR,UNDER 2.5,0.45377,0.54623,0.092461,0.0,0.544242,0.495242,0.373186,2.6548,2.1847,0.171056,"base,gap,ml",1912.9,1578.9,147,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.171<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.092<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Brazil,Haiti,2026-06-19,Philadelphia,Grupo,NO APOSTAR,OVER 2.5,0.55238,0.44762,0.104761,0.0,0.594457,0.625381,0.454476,3.2254,2.4933,0.170906,"base,gap,ml",2058.8,1695.8,154,91,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.171<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.105<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
