equipo_local,equipo_visitante,fecha,sede,fase,decision,observacion_no_apuesta,p_over_final,p_under_final,confianza_modelo,confianza_apuesta,p_over_ml,p_over_poisson_base,p_over_poisson_gap,lambda_total_base,lambda_total_gap,discrepancia_modelos,modelos_usados,elo_local,elo_visitante,partidos_previos_local,partidos_previos_visitante,checks_ok,bloqueos,filter_mode,directional_margin_used,under_confirm_ceiling_used,over_confirm_floor_used,threshold_source,ml_status
South Africa,Canada,2026-06-28,Los Angeles,Dieciseisavos,UNDER 2.5,UNDER 2.5,0.357951,0.642049,0.284098,0.284098,0.439456,0.304504,0.387515,1.9304,2.2382,0.134952,"base,gap,ml",1657.6,1880.5,125,126,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.135<=0.350)|votos_utilizables|confianza_ok(0.284>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Brazil,Japan,2026-06-29,Houston,Dieciseisavos,NO APOSTAR,UNDER 2.5,0.492647,0.507353,0.014705,0.0,0.508544,0.481984,0.498682,2.6016,2.6687,0.02656,"base,gap,ml",2058.8,1970.8,154,124,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.027<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.015<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Germany,Paraguay,2026-06-29,Boston,Dieciseisavos,NO APOSTAR,OVER 2.5,0.552851,0.447149,0.105702,0.0,0.492619,0.729856,0.376307,3.7923,2.1963,0.353549,"base,gap,ml",1972.0,1849.8,154,121,datos_equipo_ok|ml_ok|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),discrepancia_modelos_alta_legacy(0.354>0.350)|confianza_baja(0.106<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Netherlands,Morocco,2026-06-30,Monterrey,Dieciseisavos,NO APOSTAR,OVER 2.5,0.561178,0.438822,0.122356,0.0,0.530127,0.636838,0.487705,3.2815,2.6245,0.149133,"base,gap,ml",1957.8,2003.9,148,149,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.149<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.122<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Côte d'Ivoire,Norway,2026-06-30,Dallas,Dieciseisavos,NO APOSTAR,OVER 2.5,0.531735,0.468265,0.06347,0.0,0.537208,0.639071,0.40893,3.2925,2.3188,0.230141,"base,gap,ml",1866.4,1957.4,144,126,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.230<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.063<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
France,Sweden,2026-06-30,Nueva York,Dieciseisavos,OVER 2.5,OVER 2.5,0.607562,0.392438,0.215124,0.215124,0.551263,0.760475,0.456647,3.9903,2.5018,0.303828,"base,gap,ml",2079.4,1732.8,164,152,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.304<=0.350)|votos_utilizables|confianza_ok(0.215>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Mexico,Ecuador,2026-07-01,Ciudad de Mexico,Dieciseisavos,UNDER 2.5,UNDER 2.5,0.356712,0.643288,0.286576,0.286576,0.509244,0.265932,0.401639,1.7871,2.2912,0.243312,"base,gap,ml",1946.9,1968.1,205,134,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.243<=0.350)|votos_utilizables|confianza_ok(0.287>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
England,DR Congo,2026-07-01,Atlanta,Dieciseisavos,UNDER 2.5,UNDER 2.5,0.358127,0.641873,0.283746,0.283746,0.504315,0.234341,0.442567,1.6679,2.4472,0.269974,"base,gap,ml",2030.1,1777.1,158,132,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.270<=0.350)|votos_utilizables|confianza_ok(0.284>=0.164)|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),ninguno,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Belgium,Senegal,2026-07-01,Seattle,Dieciseisavos,NO APOSTAR,OVER 2.5,0.601742,0.398258,0.203483,0.0,0.548787,0.709858,0.499969,3.6724,2.6739,0.209889,"base,gap,ml",1912.7,1891.3,153,147,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.210<=0.350)|votos_utilizables|confianza_ok(0.203>=0.164)|varianza_shots_ignorada(sin_statsbomb),varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
United States,Bosnia and Herzegovina,2026-07-02,San Francisco,Dieciseisavos,NO APOSTAR,OVER 2.5,0.54134,0.45866,0.08268,0.0,0.594974,0.64477,0.404869,3.321,2.3034,0.239901,"base,gap,ml",1851.0,1578.9,189,121,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.240<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.083<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Spain,Austria,2026-07-02,Los Angeles,Dieciseisavos,NO APOSTAR,UNDER 2.5,0.484063,0.515937,0.031874,0.0,0.58569,0.466408,0.465815,2.54,2.5377,0.119875,"base,gap,ml",2152.9,1853.8,153,131,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.120<=0.350)|votos_utilizables|varianza_goles_controlada|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.032<0.164),legacy_discrepancy,0.05,0.45,0.55,config.py,ok
Portugal,Croatia,2026-07-03,Toronto,Dieciseisavos,NO APOSTAR,OVER 2.5,0.559492,0.440508,0.118985,0.0,0.55893,0.640476,0.468597,3.2995,2.5486,0.171879,"base,gap,ml",1980.1,1883.4,155,150,datos_equipo_ok|ml_ok|modelos_coherentes_legacy(0.172<=0.350)|votos_utilizables|varianza_shots_ignorada(sin_statsbomb),confianza_baja(0.119<0.164)|varianza_goles_muy_alta,legacy_discrepancy,0.05,0.45,0.55,config.py,ok
