equipo_local,equipo_visitante,sede,fase,fecha,neutral,dias_descanso_local,dias_descanso_visitante,peso_torneo
Iraq,Norway,Boston,Grupo,2026-06-16,1,7,7,1.0
Argentina,Algeria,Kansas City,Grupo,2026-06-16,1,7,7,1.0
Austria,Jordan,San Francisco,Grupo,2026-06-16,1,7,7,1.0
Ghana,Panama,Toronto,Grupo,2026-06-17,1,7,7,1.0
England,Croatia,Dallas,Grupo,2026-06-17,1,7,7,1.0
Portugal,Congo DR,Houston,Grupo,2026-06-17,1,7,7,1.0
Uzbekistan,Colombia,Mexico City,Grupo,2026-06-17,1,7,7,1.0
Czechia,South Africa,Atlanta,Grupo,2026-06-18,1,7,7,1.0
Switzerland,Bosnia and Herzegovina,Los Angeles,Grupo,2026-06-18,1,5,6,1.0
Brazil,Haiti,Philadelphia,Grupo,2026-06-19,1,6,6,1.0
Türkiye,Paraguay,San Francisco,Grupo,2026-06-19,1,6,7,1.0
Netherlands,Sweden,Houston,Grupo,2026-06-20,1,6,6,1.0
Germany,Côte d'Ivoire,Toronto,Grupo,2026-06-20,1,6,6,1.0
Ecuador,Curaçao,Kansas City,Grupo,2026-06-20,1,6,6,1.0
Tunisia,Japan,Monterrey,Grupo,2026-06-20,1,6,6,1.0
Spain,Saudi Arabia,Atlanta,Grupo,2026-06-21,1,6,6,1.0
Belgium,IR Iran,Los Angeles,Grupo,2026-06-21,1,6,6,1.0
