equipo_local,equipo_visitante,sede,fase,fecha,hora_espana,neutral,dias_descanso_local,dias_descanso_visitante,peso_torneo
South Africa,Canada,Los Angeles,Dieciseisavos,2026-06-28,21:00,1,7,7,1.0
Brazil,Japan,Houston,Dieciseisavos,2026-06-29,19:00,1,7,7,1.0
Germany,Paraguay,Boston,Dieciseisavos,2026-06-29,22:30,1,7,7,1.0
Netherlands,Morocco,Monterrey,Dieciseisavos,2026-06-30,03:00,1,7,7,1.0
Ivory Coast,Norway,Dallas,Dieciseisavos,2026-06-30,19:00,1,7,7,1.0
France,Sweden,Nueva York,Dieciseisavos,2026-06-30,23:00,1,7,7,1.0
Mexico,Ecuador,Ciudad de Mexico,Dieciseisavos,2026-07-01,03:00,1,7,7,1.0
England,DR Congo,Atlanta,Dieciseisavos,2026-07-01,18:00,1,7,7,1.0
Belgium,Senegal,Seattle,Dieciseisavos,2026-07-01,22:00,1,7,7,1.0
United States,Bosnia and Herzegovina,San Francisco,Dieciseisavos,2026-07-02,02:00,1,7,7,1.0
Spain,Austria,Los Angeles,Dieciseisavos,2026-07-02,21:00,1,7,7,1.0
Portugal,Croatia,Toronto,Dieciseisavos,2026-07-03,01:00,1,7,7,1.0
