game_id,equipo_local,equipo_visitante,sede,fase,fecha,hora_espana,dias_descanso_local,dias_descanso_visitante
53452545,South Africa,Canada,Los Angeles,Dieciseisavos,2026-06-28,21:00,7,7
53452557,Brazil,Japan,Houston,Dieciseisavos,2026-06-29,19:00,7,7
53452541,Germany,Paraguay,Boston,Dieciseisavos,2026-06-29,22:30,7,7
53452547,Netherlands,Morocco,Monterrey,Dieciseisavos,2026-06-30,03:00,7,7
53452561,Ivory Coast,Norway,Dallas,Dieciseisavos,2026-06-30,19:00,7,7
53452543,France,Sweden,Nueva York,Dieciseisavos,2026-06-30,23:00,7,7
53452563,Mexico,Ecuador,Ciudad de Mexico,Dieciseisavos,2026-07-01,03:00,7,7
53452565,England,DR Congo,Atlanta,Dieciseisavos,2026-07-01,18:00,7,7
53452555,Belgium,Senegal,Seattle,Dieciseisavos,2026-07-01,22:00,7,7
53452553,United States,Bosnia and Herzegovina,San Francisco,Dieciseisavos,2026-07-02,02:00,7,7
53452551,Spain,Austria,Los Angeles,Dieciseisavos,2026-07-02,21:00,7,7
53452549,Portugal,Croatia,Toronto,Dieciseisavos,2026-07-03,01:00,7,7
53452505,Switzerland,Algeria,Vancouver,Dieciseisavos,2026-07-03,05:00,7,7
53452503,Australia,Egypt,Dallas,Dieciseisavos,2026-07-03,20:00,7,7
53452569,Argentina,Cape Verde,Miami,Dieciseisavos,2026-07-04,00:00,7,7
53452507,Colombia,Ghana,Kansas City,Dieciseisavos,2026-07-04,03:30,7,7
